Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Sensitivity,Specificity
Svm,0.5409836065573771,0.0,0.0,0.0,0.9653679653679654,0.0,1.0
Gradient Boosting,0.8524590163934426,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.9015151515151515,0.8571428571428571,0.8484848484848485
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666666,0.9577922077922079,0.9285714285714286,0.8181818181818182
Random Forest,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033899,0.95995670995671,0.9285714285714286,0.8484848484848485
